1993/01/06,417
1993/01/13,423
1993/01/15,442
1993/01/20,474.5
1993/01/22,493
1993/01/27,568
1993/01/29,572
1993/02/03,572
1993/02/05,572
1993/02/10,561
1993/02/12,560
1993/02/17,559
1993/02/19,559
1993/02/24,576
1993/02/26,593
1993/03/03,649
1993/03/05,648
1993/03/10,650
1993/03/12,653
1993/03/17,662
1993/03/19,667
1993/03/24,684
1993/03/26,684
1993/03/31,684
1993/04/02,692
1993/04/07,712
1993/04/09,740
1993/04/14,766
1993/04/16,779
1993/04/21,786
1993/04/23,795
1993/04/28,812
1993/04/30,823
1993/05/07,829
1993/05/12,859
1993/05/14,886
1993/05/19,934
1993/05/21,940
1993/05/26,960
1993/05/28,994
1993/06/02,1050
1993/06/04,1072
1993/06/09,1104
1993/06/16,1116
1993/06/18,1090
1993/06/23,1079
1993/06/25,1066
1993/06/30,1060
1993/07/02,1059
1993/07/07,1058
1993/07/09,1050
1993/07/14,1036
1993/07/16,1025
1993/07/21,1010
1993/07/23,1008
1993/07/28,994
1993/07/30,989.5
1993/08/04,987
1993/08/06,986
1993/08/11,984.5
1993/08/13,984.5
1993/08/18,984.5
1993/08/20,987
1993/08/25,986
1993/08/27,985
1993/09/01,992.5
1993/09/03,990
1993/09/08,995
1993/09/10,998
1993/09/15,1006
1993/09/17,1010
1993/09/22,1036
1993/09/24,1299
1993/09/29,1201
1993/10/01,1169
1993/10/06,1173
1993/10/08,1189
1993/10/13,1194
1993/10/20,1193
1993/10/22,1193
1993/10/27,1189
1993/10/29,1186
1993/11/03,1179
1993/11/05,1177
1993/11/10,1175
1993/11/12,1176
1993/11/17,1194
1993/11/19,1203
1993/11/24,1208
1993/11/26,1214
1993/12/01,1231
1993/12/03,1230
1993/12/08,1229
1993/12/10,1229
1993/12/15,1237
1993/12/17,1247
1993/12/22,1250
1993/12/24,1250
1993/12/29,1247
